SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,2.3990E+003,3.3590E+003,-6.8982E-001,1.8699E+001,5.3367E-003,6.7346E-002,0.0000E+000,4.0000E+000,7.6944E-003,-1.2777E-002,-5.7785E-003,4.7125E-003
1,2.3990E+003,3.3440E+003,-8.8672E-001,1.8885E+001,5.9184E-003,5.5487E-002,0.0000E+000,4.0000E+000,8.1807E-003,-1.5531E-002,-4.4222E-003,9.9423E-004
2,2.3990E+003,3.3290E+003,-1.0008E+000,1.8842E+001,6.5497E-003,4.8636E-002,0.0000E+000,4.0000E+000,8.9325E-003,-2.0254E-002,1.2753E-003,-2.0259E-003
3,2.3990E+003,3.3140E+003,-1.0590E+000,1.8827E+001,7.0286E-003,4.2999E-002,0.0000E+000,4.0000E+000,9.4579E-003,-2.0441E-002,2.4082E-003,-4.6254E-003
4,2.4140E+003,3.2840E+003,-1.2462E+000,1.8455E+001,6.6353E-003,4.3195E-002,0.0000E+000,4.0000E+000,8.6282E-003,1.2647E-003,5.0927E-003,-8.1213E-003
5,2.4140E+003,3.2990E+003,-1.3494E+000,1.8593E+001,6.6095E-003,6.1755E-002,0.0000E+000,4.0000E+000,8.8717E-003,-8.0733E-003,6.3949E-003,-8.6196E-003
6,2.4140E+003,3.3140E+003,-1.4069E+000,1.8684E+001,6.6868E-003,3.9444E-002,0.0000E+000,4.0000E+000,8.8785E-003,-1.0756E-002,2.7149E-003,-5.2807E-003
7,2.4140E+003,3.3290E+003,-1.3079E+000,1.8675E+001,6.3579E-003,6.3456E-002,0.0000E+000,4.0000E+000,8.5959E-003,-1.1858E-002,1.9106E-003,-2.3114E-003
8,2.4140E+003,3.3440E+003,-1.1552E+000,1.8702E+001,6.0686E-003,7.6926E-002,0.0000E+000,4.0000E+000,8.2585E-003,-1.0979E-002,-3.2826E-003,1.5525E-003
9,2.4140E+003,3.3590E+003,-8.2139E-001,1.8547E+001,6.0057E-003,7.3286E-002,0.0000E+000,4.0000E+000,8.3109E-003,-1.1673E-002,-4.3943E-003,3.2811E-003
10,2.4140E+003,3.3740E+003,-5.4165E-001,1.8570E+001,5.9871E-003,5.1849E-002,0.0000E+000,4.0000E+000,8.0368E-003,-1.4220E-002,-3.3212E-003,2.4026E-003
11,2.4140E+003,3.3890E+003,-4.4774E-001,1.8396E+001,5.8472E-003,3.0268E-002,0.0000E+000,4.0000E+000,7.8992E-003,-2.3339E-002,-2.1594E-003,3.7991E-003
12,2.4290E+003,3.4340E+003,-4.3969E-002,1.8142E+001,5.4728E-003,5.3707E-002,0.0000E+000,4.0000E+000,7.5156E-003,-1.0828E-002,-9.2262E-003,5.0951E-004
